,Date_Time,Score,URL,IP,Length,digits,digit_ratio,Hyperlinks
113,2023-02-11 09:30:34,2.2,http://www.pdp3d.pl/vv/china-upgrade/,95.216.34.213,37,1,0.02702702702702703,0.0
114,2023-02-11 09:30:33,3.0,http://www.palsecltd.com/ca/shaw/manage/,69.16.238.78,40,0,0.0,19.0
116,2023-02-11 09:30:23,6.5,http://www.ndnmag.fr/en/ef653f864e8cffdcc4c3b4579a15b0b0/execution.html,46.182.4.120,71,17,0.23943661971830985,0.0
117,2023-02-11 09:30:21,6.5,http://www.ndnmag.fr/en/edb2542990534660b9f3da7c9bbb650c/execution.html,46.182.4.120,71,20,0.28169014084507044,0.0
118,2023-02-11 09:30:19,6.5,http://www.ndnmag.fr/en/da586dc3096c2270dcf69503e4a4972b/execution.html,46.182.4.120,71,21,0.29577464788732394,0.0
119,2023-02-11 09:30:18,6.5,http://www.ndnmag.fr/en/c719ba747ab66d2a56bebd9fb16c28ec/execution.html,46.182.4.120,71,16,0.22535211267605634,0.0
120,2023-02-11 09:30:15,6.5,http://www.ndnmag.fr/en/c4571573e5d92f2efb58d25103d3ee26/execution.html,46.182.4.120,71,21,0.29577464788732394,0.0
121,2023-02-11 09:30:13,6.5,http://www.ndnmag.fr/en/a98ffe9719ebcfc633ee789e3bc4d6ef/execution.html,46.182.4.120,71,15,0.2112676056338028,0.0
122,2023-02-11 09:30:11,6.5,http://www.ndnmag.fr/en/9ec89adc5082b31a7da9985897f9b162/execution.html,46.182.4.120,71,21,0.29577464788732394,0.0
123,2023-02-11 09:30:08,6.5,http://www.ndnmag.fr/en/4f9630ad5f9fe4ca103e014132054b63/execution.html,46.182.4.120,71,22,0.30985915492957744,0.0
124,2023-02-11 09:30:05,6.5,http://www.ndnmag.fr/en/3bab54351bb6286c1c44f665024c297f/execution.html,46.182.4.120,71,22,0.30985915492957744,0.0
125,2023-02-11 09:30:02,6.0,http://www.ndnmag.fr/en/13c03af862a7d210704cb410dc57f0ef/execution.html,46.182.4.120,71,20,0.28169014084507044,0.0
126,2023-02-11 09:30:00,6.5,http://www.ndnmag.fr/en/014250aef8a673e82520f4f70c9bd3c5/execution.html,46.182.4.120,71,21,0.29577464788732394,0.0
127,2023-02-11 09:29:59,3.2,http://www.mydetroitlawyer.com/beitzelcorporation_realm.pass&appclient-request-wsignin-authorization_redirect.app/x/,162.241.87.163,116,0,0.0,6.0
129,2023-02-11 09:29:56,6.2,http://www.mos.tn/post/BIbAZTGkMv4856/,102.219.176.81,38,4,0.10526315789473684,25.0
130,2023-02-11 09:29:55,5.7,http://www.mos.tn/post/BIbAZTGkMv4733/,102.219.176.81,38,4,0.10526315789473684,25.0
131,2023-02-11 09:29:54,6.2,http://www.mos.tn/post/BIbAZTGkMv4673/,102.219.176.81,38,4,0.10526315789473684,25.0
132,2023-02-11 09:29:52,5.7,http://www.mos.tn/post/BIbAZTGkMv4584/,102.219.176.81,38,4,0.10526315789473684,25.0
133,2023-02-11 09:29:51,6.2,http://www.mos.tn/post/BIbAZTGkMv4368/,102.219.176.81,38,4,0.10526315789473684,25.0
134,2023-02-11 09:29:49,5.7,http://www.mos.tn/post/BIbAZTGkMv4237/,102.219.176.81,38,4,0.10526315789473684,25.0
135,2023-02-11 09:29:47,5.2,http://www.mos.tn/post/BIbAZTGkMv4221/,102.219.176.81,38,4,0.10526315789473684,25.0
136,2023-02-11 09:29:44,4.4,http://www.mos.tn/post/BIbAZTGkMv4144/,102.219.176.81,38,4,0.10526315789473684,25.0
145,2023-02-11 09:29:33,3.7,http://www.marihuana.com.tr/red.php,160.153.129.222,35,0,0.0,25.0
150,2023-02-11 09:29:26,2.4,http://www.internetsubegiris-garantii.top/,190.14.39.135,42,0,0.0,19.0
151,2023-02-11 09:29:25,1.9,http://www.internetcepsube-garanti.top/,190.14.39.135,39,0,0.0,19.0
152,2023-02-11 09:29:23,5.0,http://www.imaginativemedia.in/myaugov/MyGov/personal.html,65.21.76.177,58,0,0.0,1.0
153,2023-02-11 09:29:21,5.5,http://www.imaginativemedia.in/myaugov/MyGov/otp.html,65.21.76.177,53,0,0.0,1.0
154,2023-02-11 09:29:19,5.5,http://www.imaginativemedia.in/myaugov/MyGov/otp2.html,65.21.76.177,54,1,0.018518518518518517,1.0
155,2023-02-11 09:29:18,5.0,http://www.imaginativemedia.in/myaugov/MyGov/index2.html,65.21.76.177,56,1,0.017857142857142856,1.0
156,2023-02-11 09:29:16,2.7,http://www.imaginativemedia.in/myaugov/MyGov/,65.21.76.177,45,0,0.0,1.0
157,2023-02-11 09:29:14,6.4,http://www.helpdesksimba.com/we/wt/wt/sign-in/wt.php,172.104.229.14,52,0,0.0,0.0
159,2023-02-11 09:29:10,3.0,http://www.gsyahhs7.gq/,20.39.196.101,23,1,0.043478260869565216,0.0
160,2023-02-11 09:29:07,6.0,http://www.group-origami.net/post/BIbAZTGkMv4972/,102.219.176.81,49,4,0.08163265306122448,25.0
161,2023-02-11 09:29:06,6.5,http://www.group-origami.net/post/BIbAZTGkMv4896/,102.219.176.81,49,4,0.08163265306122448,25.0
162,2023-02-11 09:29:04,6.0,http://www.group-origami.net/post/BIbAZTGkMv4831/,102.219.176.81,49,4,0.08163265306122448,25.0
163,2023-02-11 09:29:03,6.0,http://www.group-origami.net/post/BIbAZTGkMv4772/,102.219.176.81,49,4,0.08163265306122448,25.0
164,2023-02-11 09:29:01,6.5,http://www.group-origami.net/post/BIbAZTGkMv4646/,102.219.176.81,49,4,0.08163265306122448,25.0
165,2023-02-11 09:29:00,6.5,http://www.group-origami.net/post/BIbAZTGkMv4468/,102.219.176.81,49,4,0.08163265306122448,25.0
166,2023-02-11 09:28:58,5.2,http://www.group-origami.net/post/BIbAZTGkMv4243/,102.219.176.81,49,4,0.08163265306122448,25.0
167,2023-02-11 09:28:57,5.9,http://www.gama.com.tn/post/BIbAZTGkMv4978/,102.219.176.81,43,4,0.09302325581395349,25.0
168,2023-02-11 09:28:55,5.9,http://www.gama.com.tn/post/BIbAZTGkMv4725/,102.219.176.81,43,4,0.09302325581395349,25.0
169,2023-02-11 09:28:54,5.9,http://www.gama.com.tn/post/BIbAZTGkMv4487/,102.219.176.81,43,4,0.09302325581395349,25.0
170,2023-02-11 09:28:53,5.9,http://www.gama.com.tn/post/BIbAZTGkMv4295/,102.219.176.81,43,4,0.09302325581395349,25.0
171,2023-02-11 09:28:50,2.8,http://www.freefirespin017.duckdns.org/,20.253.129.34,39,3,0.07692307692307693,1.0
172,2023-02-11 09:28:48,1.2,http://www.duangded.com/loo/,115.178.63.12,28,0,0.0,0.0
174,2023-02-11 09:28:42,2.6,http://www.digitalmarketinghubli.com/wp-includes/ID3/-/fdf844d4aa1fcc6dd8b93fc3d091da7f/execution.html,43.255.154.28,102,15,0.14705882352941177,0.0
175,2023-02-11 09:28:40,5.6,http://www.digitalmarketinghubli.com/wp-includes/ID3/-/8db6dcef986df39f3e9f73113e7d6dc2/execution.html,43.255.154.28,102,18,0.17647058823529413,0.0
176,2023-02-11 09:28:38,6.6,http://www.digitalmarketinghubli.com/wp-includes/ID3/-/8bbdba68c3a99a8d9306dac20716f38c/execution.html,43.255.154.28,102,19,0.18627450980392157,0.0
177,2023-02-11 09:28:37,6.2,http://www.digitalmarketinghubli.com/wp-includes/ID3/-/520e963b1dfc5b436cfeaf7e81c002cc/execution.html,43.255.154.28,102,18,0.17647058823529413,0.0
182,2023-02-11 09:28:16,5.7,http://www.centralium.tn/post/BIbAZTGkMv4931/,102.219.176.81,45,4,0.08888888888888889,25.0
183,2023-02-11 09:28:14,6.2,http://www.centralium.tn/post/BIbAZTGkMv4865/,102.219.176.81,45,4,0.08888888888888889,25.0
184,2023-02-11 09:28:13,6.2,http://www.centralium.tn/post/BIbAZTGkMv4823/,102.219.176.81,45,4,0.08888888888888889,25.0
185,2023-02-11 09:28:12,5.7,http://www.centralium.tn/post/BIbAZTGkMv4815/,102.219.176.81,45,4,0.08888888888888889,25.0
186,2023-02-11 09:28:11,6.2,http://www.centralium.tn/post/BIbAZTGkMv4652/,102.219.176.81,45,4,0.08888888888888889,25.0
187,2023-02-11 09:28:09,6.2,http://www.centralium.tn/post/BIbAZTGkMv4631/,102.219.176.81,45,4,0.08888888888888889,25.0
188,2023-02-11 09:28:08,5.7,http://www.centralium.tn/post/BIbAZTGkMv4514/,102.219.176.81,45,4,0.08888888888888889,25.0
189,2023-02-11 09:28:06,5.7,http://www.centralium.tn/post/BIbAZTGkMv4318/,102.219.176.81,45,4,0.08888888888888889,25.0
190,2023-02-11 09:28:04,5.3,http://www.centralium.tn/post/BIbAZTGkMv4194/,102.219.176.81,45,4,0.08888888888888889,25.0
191,2023-02-11 09:28:02,5.9,http://www.centralium.com/post/BIbAZTGkMv4923/,102.219.176.81,46,4,0.08695652173913043,25.0
192,2023-02-11 09:28:00,6.4,http://www.centralium.com/post/BIbAZTGkMv4758/,102.219.176.81,46,4,0.08695652173913043,25.0
193,2023-02-11 09:27:58,5.9,http://www.centralium.com/post/BIbAZTGkMv4579/,102.219.176.81,46,4,0.08695652173913043,25.0
195,2023-02-11 09:27:55,2.5,http://www.astridenterprise-sharepoint.com/,34.250.154.199,43,0,0.0,25.0
203,2023-02-11 09:27:40,2.2,http://www.agm-egm.com/file/KOUMCAS/acceder/,27.254.86.20,44,0,0.0,19.0
205,2023-02-11 09:27:34,5.5,http://wandersondfarias.github.io/NETFLIX2/,2606:50c0:8000::153,43,1,0.023255813953488372,0.0
206,2023-02-11 09:27:33,2.2,http://verified-page.com.tr/,31.186.11.140,28,0,0.0,1.0
207,2023-02-11 09:27:30,4.1,http://usqoinbasecom.godaddysites.com/,13.248.243.5,38,0,0.0,22.0
208,2023-02-11 09:27:29,5.5,http://usps-verf.myftp.org/verification/,204.48.22.123,40,0,0.0,25.0
209,2023-02-11 09:27:28,5.6,http://usaps.njnqy.top/moblie/client/,155.94.169.166,37,0,0.0,17.0
210,2023-02-11 09:27:24,4.2,http://upholdme-login.mystrikingly.com/,18.164.124.53,39,0,0.0,7.0
212,2023-02-11 09:27:21,4.0,http://u1938517.cp.regruhosting.ru/,2a00:f940:2:2:1:4:0:117,35,7,0.2,1.0
214,2023-02-11 09:27:17,4.0,http://u1938501.cp.regruhosting.ru/,2a00:f940:2:2:1:4:0:103,35,7,0.2,1.0
215,2023-02-11 09:27:15,3.5,http://u1938490.cp.regruhosting.ru/,31.31.198.232,35,7,0.2,1.0
216,2023-02-11 09:27:14,5.5,http://u1938366.cp.regruhosting.ru/,31.31.198.232,35,7,0.2,7.0
217,2023-02-11 09:27:12,6.5,http://u1931684.plsk.regruhosting.ru/ysoo/PUBG/5453089247/k/index.php,31.31.198.180,69,17,0.2463768115942029,1.0
218,2023-02-11 09:27:11,6.5,http://u1928937.plsk.regruhosting.ru/lambo/5843707539/,31.31.198.190,54,17,0.3148148148148148,0.0
219,2023-02-11 09:27:09,3.6,http://trustwallet9.mitiendanube.com/,52.5.157.71,37,1,0.02702702702702703,23.0
221,2023-02-11 09:27:07,4.7,http://timburn.com/,45.77.78.189,19,0,0.0,6.0
223,2023-02-11 09:27:04,2.8,https://www.verify-trustwallet.kehpca.org/,161.97.133.157,42,0,0.0,24.0
225,2023-02-11 09:26:56,3.8,https://www.s4f3ly-s3cur3.ansm4sp32sfw.my.id/,103.153.3.23,45,7,0.15555555555555556,4.0
227,2023-02-11 09:26:52,5.1,https://www.mydelivery-parcel-dhl.com/,179.43.154.223,38,0,0.0,25.0
228,2023-02-11 09:26:50,5.6,https://www.momeykite.cfmnj.com/sonn/client/index_sp.html,23.247.42.26,57,0,0.0,5.0
232,2023-02-11 09:26:37,3.2,https://www-codashop-frefire-diamond-gratis-2023.duckdns.org/,20.66.41.139,61,4,0.06557377049180328,24.0
233,2023-02-11 09:26:36,3.0,https://www.city-link.co.in/wp-admin/css/js/sg/,104.211.113.82,47,0,0.0,0.0
234,2023-02-11 09:26:34,4.5,https://www.abn7.net/user/viewprofilepage/user-id/1182377,217.160.0.159,57,8,0.14035087719298245,3.0
235,2023-02-11 09:26:32,2.8,https://www.abn7.net/smscode.html,217.160.0.159,33,1,0.030303030303030304,1.0
236,2023-02-11 09:26:31,3.1,https://wwssahcjhkaa.com/,154.38.113.191,25,0,0.0,1.0
241,2023-02-11 09:26:16,2.8,https://verify-trustwallet.kehpca.org/,161.97.133.157,38,0,0.0,24.0
242,2023-02-11 09:26:13,4.0,https://valuable-courageous-ping.glitch.me/jkwd.html#[email%C2%A0protected],35.172.245.207,75,2,0.02666666666666667,0.0
243,2023-02-11 09:26:09,2.5,http://support-center2.work.gd/,103.29.0.194,31,1,0.03225806451612903,0.0
245,2023-02-11 09:26:06,6.0,https://u1929515.plsk.regruhosting.ru/PUBG/index.php,31.31.198.173,52,7,0.1346153846153846,0.0
246,2023-02-11 09:26:04,5.0,https://u1928937.plsk.regruhosting.ru/lambo/1405877919,31.31.198.190,54,17,0.3148148148148148,0.0
249,2023-02-11 09:25:55,2.2,https://tloptk.webwave.dev/,185.30.124.158,27,0,0.0,0.0
250,2023-02-11 09:25:54,5.8,https://timenowmagazine.com/Citrix/index.php,69.49.246.78,44,0,0.0,3.0
251,2023-02-11 09:25:53,6.1,https://therightchoice.co.in/UnionBank/online/login,92.204.129.19,51,0,0.0,0.0
253,2023-02-11 09:25:50,5.7,http://steamcomnnyunity.com/profiles/78390035937569844,185.149.120.37,54,17,0.3148148148148148,25.0
259,2023-02-11 09:25:35,4.5,https://steamcommunltyl.com/trades/new/parther/token/2495928,185.149.120.5,60,7,0.11666666666666667,25.0
260,2023-02-11 09:25:33,6.7,https://steamcommmuity.ru/profiIes/7651261459082690737,185.149.120.37,54,19,0.35185185185185186,25.0
261,2023-02-11 09:25:32,5.7,https://staemcomunlty.ru/profiles/17823592859295831,185.149.120.37,51,17,0.3333333333333333,0.0
264,2023-02-11 09:25:26,2.5,https://s.micscruuocl-jp.icu/,46.101.230.26,29,0,0.0,25.0
265,2023-02-11 09:25:24,2.5,https://s.micscrouocl-jp.icu/,46.101.230.26,29,0,0.0,25.0
266,2023-02-11 09:25:22,3.0,https://s.micscrouncl-jp.icu/,46.101.230.26,29,0,0.0,25.0
267,2023-02-11 09:25:20,3.0,https://s.micscroencl-jp.icu/,46.101.230.26,29,0,0.0,25.0
268,2023-02-11 09:25:18,3.0,https://s.micscreuocl-jp.icu/,46.101.230.26,29,0,0.0,25.0
272,2023-02-11 09:24:56,6.0,https://scalarchives.com/wp-admin/poostl-il/index/zlta.php,206.189.232.34,58,0,0.0,3.0
273,2023-02-11 09:24:55,5.5,https://scalarchives.com/wp-admin/poostl-il/index/zlatan.php,206.189.232.34,60,0,0.0,3.0
274,2023-02-11 09:24:54,3.9,https://scalarchives.com/wp-admin/poostl-il/index/,206.189.232.34,50,0,0.0,2.0
276,2023-02-11 09:24:48,6.3,https://s3.amazonaws.com/appforest_uf/f1676029026179x982454162159701900/suppp.html,52.217.71.94,82,32,0.3902439024390244,3.0
277,2023-02-11 09:24:47,1.5,https://retrwwee.gandalphyrt.workers.dev/,2606:4700:3032::ac43:c963,41,0,0.0,2.0
278,2023-02-11 09:24:43,5.4,https://pvrtual-prcessdesblq.com/mua/USER/scis/j6UnVHZsitlYrxStPNFUN4TsSjgEJkN7dlDp6FXSjFxO/3D/no-back-button/,52.86.87.120,110,5,0.045454545454545456,0.0
279,2023-02-11 09:24:42,3.5,https://protect-pay-carousell.web.app/minesd/index.html,199.36.158.100,55,0,0.0,1.0
280,2023-02-11 09:24:40,2.3,https://ppzg5s.webwave.dev/lib/ppzg5s/dhlde-ldwz41xy.html,185.73.228.142,57,4,0.07017543859649122,0.0
284,2023-02-11 09:24:13,4.7,https://nonamefx.com/wp/pagomentee/,88.198.132.41,35,0,0.0,17.0
285,2023-02-11 09:24:01,6.3,https://nicholas3249.github.io/,2606:50c0:8001::153,31,4,0.12903225806451613,1.0
286,2023-02-11 09:24:00,2.9,https://newshotslnxvsg.asma.cfd/uVZXvNqU?fbclid=IwAR2TJ14IyyGTFEHraWo69GfjCrKFMzQ1yn57HAqs6Z9GUUnvTRvq_ME3GjQ&h=AT3eGcbDMLR8TM0o9qNEp_DsDc-V3U8iPxnlfJ8Z7OTw0duCUfzsXFexLGAuuO3wwfs9486MZmabcX4spAc3bFBKXvC3gXtatJVXU9zX9OLFf1qqsL_79KEvxntimNqOoAj6uj-lFVt7Js2CnKj2&__tn__=R,172.67.161.140,269,37,0.137546468401487,2.0
287,2023-02-11 09:23:52,6.5,http://sneakapeep.com/office4secure/3/index.php,69.49.246.78,47,2,0.0425531914893617,3.0
288,2023-02-11 09:23:48,5.1,https://mydelivery-parcel-dhl.com/,179.43.154.223,34,0,0.0,25.0
299,2023-02-11 09:23:23,5.4,https://jualtasspunbondmurah.com/igov/MyGov/personal.html,162.241.152.105,57,0,0.0,0.0
300,2023-02-11 09:23:22,6.3,https://jualtasspunbondmurah.com/igov/MyGov/otp.html,162.241.152.105,52,0,0.0,1.0
301,2023-02-11 09:23:20,5.9,https://jualtasspunbondmurah.com/igov/MyGov/otp2.html,162.241.152.105,53,1,0.018867924528301886,1.0
302,2023-02-11 09:23:19,5.9,https://jualtasspunbondmurah.com/igov/MyGov/index2.html,162.241.152.105,55,1,0.01818181818181818,1.0
303,2023-02-11 09:23:18,4.0,https://jualtasspunbondmurah.com/igov/MyGov/,162.241.152.105,44,0,0.0,1.0
304,2023-02-11 09:23:14,5.6,https://ipfs.io/ipfs/QmVYaz6tFq6ncPhcgBwYfWDgjBqbCpxJatpq2EvCmnujPF/,2602:fea2:2::1,68,3,0.04411764705882353,0.0
305,2023-02-11 09:23:01,3.9,https://improservice.com/case/,66.225.201.22,30,0,0.0,2.0
310,2023-02-11 09:22:52,2.2,https://gobmx.org/apoyos-del-gobierno/,66.225.201.13,38,0,0.0,20.0
313,2023-02-11 09:22:33,7.1,https://find-myphone.info/expire/,162.241.127.96,33,0,0.0,0.0
316,2023-02-11 09:22:28,7.1,https://fa800k346ygffnkiu643wqqffr4.filesusr.com/html/f00e8e_4d9b2a88f72eb4191a8eb158b004ca1f.html?4628884*SmVmZjYxOTE4N0Bob3RtYWlsLmNvbQ==*https://m.facebook.com/exhalesub/photos/a.2117719548340489/5669036109875464/?type=3&eav=AfaUhGfKDzf1F2qcteioHD7R8ZcesALK4QPVQTvzgXoP24_nkZrNX77B0MPXZQlvLcM,34.102.176.152,295,85,0.288135593220339,0.0
317,2023-02-11 09:22:24,5.9,https://email-validate-ionos011.glitch.me/?common=5SP8QTZEIU1NNOB0AZHC,18.233.125.42,70,7,0.1,0.0
318,2023-02-11 09:22:23,1.8,http://seller.abcdkuat7.cyou/,20.163.0.223,29,1,0.034482758620689655,0.0
319,2023-02-11 09:22:21,6.0,https://drvoflor.net/wp-content/plugins/fr/home/,185.150.195.194,48,0,0.0,0.0
320,2023-02-11 09:22:19,2.5,https://dentistryflag.com/,45.9.74.31,26,0,0.0,25.0
321,2023-02-11 09:22:13,3.7,https://cutt.us/50IPo,69.61.26.122,21,2,0.09523809523809523,2.0
322,2023-02-11 09:22:09,3.3,https://confir-active-account.my.id/,103.153.3.23,36,0,0.0,0.0
323,2023-02-11 09:22:07,3.2,https://commbank-aust.line.pm/ret/CommBankAUSib,193.42.33.232,47,0,0.0,18.0
324,2023-02-11 09:22:02,2.0,https://chrome-extension.duia.eu/fsdfd/shjfnsd/09733/,103.161.184.117,53,5,0.09433962264150944,0.0
328,2023-02-11 09:21:44,5.0,https://bt-104930.weeblysite.com/,199.34.228.97,33,6,0.18181818181818182,0.0
333,2023-02-11 09:21:31,5.9,https://bilton-dot-sharepointexcelspecifications.ue.r.appspot.com/,2607:f8b0:4006:806::2014,66,0,0.0,0.0
334,2023-02-11 09:21:29,5.0,https://bansnsdreserva.basbvcgabgklas.repl.co/,34.149.204.188,46,0,0.0,14.0
338,2023-02-11 09:21:22,5.3,https://appleld.i-ld.cn/y,23.224.55.10,25,0,0.0,4.0
339,2023-02-11 09:21:21,2.3,https://appleld.i-ld.cn/,23.224.55.10,24,0,0.0,4.0
348,2023-02-11 09:21:07,5.4,https://airhockey.nu/zsa/newtonlinedoc/newtonlinefile.html,69.162.191.94,58,0,0.0,4.0
349,2023-02-11 09:21:01,5.0,https://about-crhorne-profile.epizy.com/,185.27.134.176,40,0,0.0,0.0
350,2023-02-11 09:20:59,3.1,http://sable-valley-icebreaker.glitch.me/gbourfd.html,34.194.135.141,53,0,0.0,0.0
351,2023-02-11 09:20:57,2.4,https://98514.duckdns.org/,20.165.251.250,26,5,0.19230769230769232,0.0
363,2023-02-11 09:20:37,3.2,http://royalmail.logistic-uk.com/,81.161.229.196,33,0,0.0,1.0
364,2023-02-11 09:20:36,2.8,http://robust-elderly-rattlesnake.glitch.me/teskolo.HTM,52.206.35.10,55,0,0.0,0.0
365,2023-02-11 09:20:34,4.2,http://rlinstalacioneselectricas.com/,185.129.249.53,37,0,0.0,3.0
366,2023-02-11 09:20:32,6.0,http://reddiplom.in.ua/cache/RBC/index.php,2a06:6440:0:2d15::1,42,0,0.0,25.0
367,2023-02-11 09:20:31,2.1,http://redddsfrt.duckdns.org/Osth/fixed/file/secure/document/access/,185.173.34.240,68,0,0.0,0.0
369,2023-02-11 09:20:15,4.6,http://perfil1567468.filesusr.com/html/61cc24_3f50466bed26489b293570bd148cefb9.html?6126203*zgfuexbpbnrvcjg4mubnbwfpbc5jb20=*https:/www.facebook.com/profile.php?id=100080834732868&mibextid=zbwkwl*facebook+latino,34.102.176.152,211,58,0.27488151658767773,0.0
370,2023-02-11 09:20:14,3.7,http://pawlowski-dot-firm-structure-344407.uk.r.appspot.com/,2607:f8b0:4006:81c::2014,60,6,0.1,0.0
371,2023-02-11 09:20:12,6.9,http://pavankumar-patil14.github.io/Facebook_login/,2606:50c0:8000::153,51,2,0.0392156862745098,0.0
374,2023-02-11 09:20:07,4.5,http://nimble-uncovered-brand.glitch.me/NAAAAFFFFFCCCCCUUUUU.HTML,52.206.35.10,65,0,0.0,0.0
375,2023-02-11 09:20:05,2.1,http://myexpress-returns.com/,179.43.154.223,29,0,0.0,0.0
376,2023-02-11 09:20:02,3.4,http://metamasl.net/,8.210.172.191,20,0,0.0,24.0
377,2023-02-11 09:19:59,3.9,http://mcprod.americanexpressseguros.com/,151.101.1.124,41,0,0.0,1.0
378,2023-02-11 09:19:58,6.1,http://manage-unauthorised-transfer.com/Login.php,91.215.85.179,49,0,0.0,13.0
379,2023-02-11 09:19:56,2.4,http://mail.freefirespin017.duckdns.org/,20.253.129.34,40,3,0.075,1.0
380,2023-02-11 09:19:55,2.4,http://mail.98514.duckdns.org/,20.165.251.250,30,5,0.16666666666666666,0.0
381,2023-02-11 09:19:52,6.2,http://logiticas.embutidosmiguel.com/public/Uasj8XcBaOAb6okfBXatxIeoGxCPMKTM/,185.68.109.166,77,2,0.025974025974025976,0.0
