,Unnamed: 0,Date_Time,Score,URL,IP,Length,digits,digit_ratio,Hyperlinks,Sus_Words
12,45,2023-02-09 06:21:42,4.1,https://bnvcdyh.top/jp,155.94.140.114,22,0,0.0,0.0,0.0
13,46,2023-02-09 06:21:34,4.1,https://bmnnsdq.top/jp,155.94.140.114,22,0,0.0,0.0,0.0
14,51,2023-02-09 06:21:19,4.9,https://amazon.co.jp.amaznos.cc/,45.207.45.155,32,0,0.0,0.0,0.0
15,54,2023-02-09 06:21:09,5.6,http://robik.pl/inse.nhpn/ncce.isn.php,94.124.1.225,38,0,0.0,1.0,0.0
16,57,2023-02-09 06:20:44,2.2,http://kecamatan.xyz/,3.145.71.115,21,0,0.0,25.0,1.0
17,58,2023-02-09 06:20:42,5.2,http://jiuxingmach888.com/,35.215.134.240,26,3,0.1153846153846153,25.0,0.0
18,61,2023-02-09 06:20:27,2.2,http://104.129.205.92.host.secureserver.net/clienteseguro/?cid=atualizacao@regular.com.br,92.205.129.104,89,11,0.1235955056179775,0.0,0.0
19,64,2023-02-09 04:56:33,2.7,https://www.kuryoanoyamato.icu/,164.92.167.143,31,0,0.0,25.0,0.0
20,65,2023-02-09 04:56:31,2.8,https://www.kuryoaitbmato.icu/,142.93.175.219,30,0,0.0,25.0,0.0
21,67,2023-02-09 04:56:27,2.0,https://www.koyamaton-co-and.wcrryhl.cn/,47.87.199.201,40,0,0.0,25.0,0.0
22,69,2023-02-09 04:56:23,2.1,https://www.koyamatodn-co.akauan.nicqctf.cn/,23.147.226.234,44,0,0.0,25.0,0.0
23,77,2023-02-09 04:55:56,2.5,https://support.kuryotouaimato.icu/,142.93.175.219,35,0,0.0,25.0,0.0
24,78,2023-02-09 04:55:54,3.0,https://support.kuryoeroqmato.icu/,164.92.167.143,34,0,0.0,25.0,0.0
25,83,2023-02-09 04:54:57,2.4,https://kakunin.kuryotouaimato.icu/,142.93.175.219,35,0,0.0,25.0,0.0
26,84,2023-02-09 04:54:54,2.9,https://kakunin.kuryoeroqmato.icu/,164.92.167.143,34,0,0.0,25.0,0.0
27,85,2023-02-09 04:54:52,1.9,https://jp.kuryoanoyamato.icu/,164.92.167.143,30,0,0.0,25.0,0.0
28,86,2023-02-09 04:54:47,2.5,https://jp.kuryoaitbmato.icu/,142.93.175.219,29,0,0.0,25.0,0.0
29,87,2023-02-09 04:54:41,2.1,https://ipfs.io/ipfs/QmV6p5WeHWqcyWuXReNZ4TKKYUdGs17bLoDLdcYEJeVEaZ?filename=index.htm,209.94.90.1,86,5,0.0581395348837209,0.0,0.0
30,200,2023-02-09 04:51:43,5.6,https://dsxrel.gq/govec/babe.php,162.240.217.49,32,0,0.0,6.0,0.0
31,339,2023-02-09 01:46:46,3.3,https://consultandosem-sairdecasa-fevereiro.com/luiza/?userID=&amp;uri=YO8SVvpkCEW7NwrUGDQMDqnnHFvDq79co3/L3s48WkY=,172.67.188.86,115,8,0.0695652173913043,2.0,0.0
32,340,2023-02-09 01:46:40,2.6,https://classyadz.com/jp,173.254.231.92,24,0,0.0,0.0,0.0
33,342,2023-02-09 01:46:22,3.7,https://boredapeyahctclub.com/,185.100.87.32,30,0,0.0,10.0,0.0
34,343,2023-02-09 01:46:20,4.1,https://baidu1c.com/jp,173.254.231.92,22,1,0.0454545454545454,0.0,0.0
35,370,2023-02-09 01:45:31,2.8,https://amazon-jps.com/,156.234.193.108,23,0,0.0,0.0,0.0
36,401,2023-02-08 23:22:24,4.5,http://xecureusaa.com/,104.16.244.78,22,0,0.0,0.0,0.0
37,403,2023-02-08 23:22:19,4.6,http://www.manage-unauthorised-activity.com/,91.215.85.179,44,0,0.0,13.0,0.0
38,406,2023-02-08 23:22:12,5.8,http://www.icloud-find-alert.com/ip/id/?c=3D&op=3D,45.131.1.203,50,2,0.04,0.0,0.0
39,407,2023-02-08 23:22:10,5.8,http://www.icloud-find-alert.com/ip/id?c=3D&op=3D,45.131.1.203,49,2,0.0408163265306122,0.0,0.0
40,408,2023-02-08 23:22:07,2.9,http://www.gadrinks.com/wp-content/,52.151.92.118,35,0,0.0,6.0,0.0
41,414,2023-02-08 23:21:44,5.0,http://vmconsalting.ru/--/44042/Login.html,2a00:f940:2:2:1:4:0:109,42,5,0.119047619047619,25.0,2.0
42,422,2023-02-08 23:21:28,3.9,http://u1935626.cp.regruhosting.ru/sucarsal/PASWORD.php,2a00:f940:2:2:1:4:0:117,55,7,0.1272727272727272,17.0,0.0
43,423,2023-02-08 23:21:25,3.8,http://u1935626.cp.regruhosting.ru/sucarsal/,2a00:f940:2:2:1:4:0:117,44,7,0.1590909090909091,17.0,0.0
44,424,2023-02-08 23:21:23,5.9,http://u1935626.cp.regruhosting.ru/,37.140.192.138,35,7,0.2,17.0,0.0
45,428,2023-02-08 23:21:13,4.9,http://u1935232.cp.regruhosting.ru/,31.31.198.249,35,7,0.2,1.0,0.0
46,429,2023-02-08 23:21:10,4.3,http://u1928937.plsk.regruhosting.ru/pes/5172745511,31.31.198.190,51,17,0.3333333333333333,5.0,0.0
47,430,2023-02-08 23:21:08,6.9,http://u1928937.plsk.regruhosting.ru/lambo/5804374443/,31.31.198.190,54,17,0.3148148148148148,0.0,0.0
48,431,2023-02-08 23:21:06,6.9,http://u1928937.plsk.regruhosting.ru/lambo/5480254611/,31.31.198.190,54,17,0.3148148148148148,0.0,0.0
49,433,2023-02-08 23:21:02,1.8,http://tradlngview-pc.com/,45.15.156.247,26,0,0.0,25.0,7.0
50,442,2023-02-08 23:20:18,5.0,https://www.ndnmag.fr/en/c90b194a43beac6889b7f8bfccc88c99/execution.html?validation=e1s1,46.182.4.120,88,19,0.2159090909090909,0.0,0.0
51,443,2023-02-08 23:20:16,5.0,https://www.ndnmag.fr/en/b219343144823638b57ebca8f5dbb122/execution.html?validation=e1s1,46.182.4.120,88,24,0.2727272727272727,0.0,0.0
52,444,2023-02-08 23:20:14,5.0,https://www.ndnmag.fr/en/ab8f024deaa2e946d8231d5b87bd4a1d/execution.html?validation=e1s1,46.182.4.120,88,19,0.2159090909090909,0.0,0.0
53,446,2023-02-08 23:20:08,5.0,https://www.ndnmag.fr/en/95fc4f5cca0dbf2bc464984efb1764d9/execution.html?validation=e1s1,46.182.4.120,88,19,0.2159090909090909,0.0,0.0
54,454,2023-02-08 23:19:51,5.8,https://www.icloud-find-alert.com/ip/id/?c=&op=,45.131.1.203,47,0,0.0,0.0,0.0
55,455,2023-02-08 23:19:49,5.0,https://www.icloud-find-alert.com/ip/id?c=&op=,45.131.1.203,46,0,0.0,0.0,0.0
56,463,2023-02-08 23:19:30,5.6,https://www.attemplate.com/nam/92a82883-791a-48e4-ab55-e1badde91977/4bb23e83-e29a-44a6-b543-1d2392effec8/cb22cba5-03ae-4fe7-8ebe-f52d1b23f7eb/login?id=SHF4Vm9lTWJETkxEWHBDUUtNcXpHMFRmMXgxQXNYNkdibGdYTm1wY1BWb3RYNGtmek9veXh6eit1QmZjQXFUTVl4eUJUK1M4VnErZWlZQUVoN2RuOExuYWsyK2U1VUJJRmxCUVpPRmUzdzNXdkw2QXZzdFp0TlFrK1BvQmxmeWNTVVRRQ2QzMUtNNFVVOGxQeElDV0wvMUYydUk5VERpeDFQK2Vha1JScWdTMVRqaXVGa0ZQRVBqbnhHaDkvKzFGOVJrcTF3djRyNXF1UUVKZitMalJibGl5c0NmSHRDNDhqb3cyTFE2NlgzSjJlNlM4TzZSSVJzdlBCaHkwZGo0d1ZpRlVSVDNhMExCNE8rRG5NUnErZnhHcHU1QURFUDcyT0ZuUE9BV3NMelg4MHFmOFhDQkl4cnJhWm1KZWpCN295MElDa2ZCcmVmRGQ4OS9nWjhYTUl4MmdvckZsbTZkbXduOHdRbnR0dTVickVmczFSUXB1UG5MMERhTldJYU5NQ0dIQ2E2dWUrTHllYVVqN1VsTS8vUT09,2620:1ec:4f:1::40,695,113,0.1625899280575539,4.0,0.0
57,485,2023-02-08 23:18:18,3.0,https://tbilisicity.shop/wp-content/themes/shoptimizer/next/NewFolder/hhtpdocagecrcasecuripass/,80.241.246.3,95,0,0.0,1.0,0.0
58,489,2023-02-08 23:18:04,3.4,https://support.amazon-jps.com/,156.234.193.108,31,0,0.0,0.0,0.0
59,494,2023-02-08 23:17:42,5.7,https://steanmcommunilty.ru/profiles/76545645768761,185.149.120.37,51,14,0.2745098039215686,25.0,0.0
60,512,2023-02-08 23:17:00,5.7,https://sleamcomnunily.com/proflines/76561199426346727,185.149.120.37,54,17,0.3148148148148148,25.0,0.0
61,513,2023-02-08 23:16:56,6.2,https://silverphotography.com.au/wp-conten/pki-validation/LoginServices/main/news/index.php,203.28.48.5,91,0,0.0,5.0,0.0
62,516,2023-02-08 23:16:47,1.4,https://sever-aol.soxoc58521.workers.dev/,104.21.27.62,41,5,0.1219512195121951,2.0,0.0
63,517,2023-02-08 23:16:46,4.3,https://ses77.synology.me/wordpress/Nickel-App/ACLIqWDoKsRui5AL3sfyTPMh4S64GFvUQ1fdRAw6CerWA/clients/,121.167.73.213,101,9,0.0891089108910891,0.0,0.0
64,519,2023-02-08 23:16:39,5.9,https://segundaviaoniine.com/,2606:4700:3032::6815:33a9,29,0,0.0,2.0,0.0
65,520,2023-02-08 23:16:19,5.9,https://salmanulhamdan.github.io/netflix/,185.199.108.153,41,0,0.0,0.0,0.0
66,522,2023-02-08 23:16:15,2.8,https://rewards-exclusive.my.id/Midasbuy/,2606:4700:3030::ac43:843f,41,0,0.0,2.0,0.0
67,528,2023-02-08 23:16:05,5.3,https://qwsigninatt.weebly.com/,199.34.228.53,31,0,0.0,17.0,0.0
68,532,2023-02-08 23:15:58,6.7,https://pr-newsroom-wp.appspot.com/2019-06-12/your-daily-drive-music-and-news-thatll-brighten-your-commute/,2607:f8b0:4006:823::2014,107,8,0.0747663551401869,23.0,1.0
69,543,2023-02-08 23:15:21,1.4,https://nunpack.com/wp-content/e-documentation.html,89.252.178.127,51,0,0.0,0.0,0.0
70,546,2023-02-08 23:15:14,5.1,https://napthechinhthuc.com/,103.147.126.190,28,0,0.0,9.0,0.0
71,552,2023-02-08 23:14:55,1.2,https://midasbuy.rewards-exclusive.my.id/,104.21.4.161,41,0,0.0,2.0,0.0
72,553,2023-02-08 23:14:53,4.2,https://micktapflopumps-dot-azure-projectfiles.uk.r.appspot.com/,2607:f8b0:4006:81e::2014,64,0,0.0,0.0,0.0
73,557,2023-02-08 23:14:40,6.3,https://masksi.webcindario.com/token.php,5.57.226.202,40,0,0.0,1.0,0.0
74,558,2023-02-08 23:14:38,6.3,https://masksi.webcindario.com/token3.php,5.57.226.202,41,1,0.024390243902439,1.0,0.0
75,559,2023-02-08 23:14:36,6.3,https://masksi.webcindario.com/token2.php,5.57.226.202,41,1,0.024390243902439,1.0,0.0
76,560,2023-02-08 23:14:34,4.7,https://masksi.webcindario.com/confirm.php?regh=,5.57.226.202,48,0,0.0,1.0,0.0
77,561,2023-02-08 23:14:32,7.7,https://manage-new-login.com/Login.php,91.215.85.179,38,0,0.0,13.0,0.0
78,562,2023-02-08 23:14:30,2.9,https://manage-new-login.com/,91.215.85.179,29,0,0.0,13.0,0.0
79,563,2023-02-08 23:14:28,3.0,https://main.d2d5zvegxeesfi.amplifyapp.com/zm.html#[[-Email-]],18.161.34.117,62,2,0.032258064516129,4.0,0.0
80,567,2023-02-08 23:14:20,1.9,https://lovackekamere.com/wp-content/plugins/bazydpx/vi/LiinkedInhardest/900,185.150.195.194,76,3,0.0394736842105263,0.0,0.0
81,569,2023-02-08 23:14:12,4.1,https://kykki.gurutvakaryalay.in/klkl/,79.137.248.88,38,0,0.0,6.0,0.0
82,570,2023-02-08 23:14:09,3.2,https://kuvaway.com/,95.217.78.181,20,0,0.0,0.0,0.0
83,583,2023-02-08 23:13:35,1.9,https://harmattan-indonesia.com/,69.73.144.10,32,0,0.0,6.0,0.0
84,590,2023-02-08 23:13:22,3.4,https://gentiord.com/smtin/att3/index2.php?email=,69.73.182.77,49,2,0.0408163265306122,0.0,0.0
85,591,2023-02-08 23:13:21,3.6,https://gentiord.com/smtin/att3/,69.73.182.77,32,1,0.03125,0.0,0.0
86,592,2023-02-08 23:13:19,4.7,https://gamenftkiemtien.com/,172.96.185.199,28,0,0.0,0.0,0.0
88,600,2023-02-08 23:12:51,3.0,http://sfgarecovery-accts3rq.rf.gd/,185.27.134.151,35,1,0.0285714285714285,0.0,0.0
89,608,2023-02-08 23:12:32,4.1,https://domainzot.com/,104.21.95.167,22,0,0.0,2.0,0.0
90,609,2023-02-08 23:12:31,4.0,https://dilscordilgiftsilw.com/LT,185.149.120.37,33,0,0.0,25.0,0.0
91,616,2023-02-08 23:12:14,3.6,https://dajuchina.com/team/chris/ns/nid/,50.31.160.191,40,0,0.0,3.0,0.0
92,618,2023-02-08 23:12:07,3.0,https://communitylink4you.com/abdobsignesed,162.241.70.188,43,1,0.0232558139534883,0.0,0.0
93,619,2023-02-08 23:12:06,4.8,https://commune-zahretmedien.tn/-/877cfe8f140bb6e28e1273ac4f107bdd/execution.html?validation=e1s1,213.186.33.186,97,20,0.2061855670103092,23.0,0.0
94,620,2023-02-08 23:12:03,4.8,https://commune-zahretmedien.tn/-/2efcf63d58ab5e1834d08863d5a225f2/execution.html?validation=e1s1,213.186.33.186,97,22,0.2268041237113402,23.0,0.0
95,624,2023-02-08 23:11:39,2.0,https://bsearchable.com/wp-content/uupp11/fRtkSKbToRm9aVuZrAMn3p7QiAgqyX7LNxcPqFn7a/login.php?public/enroll/IdentifyUser-aspx-LOB=RBGLogon=MTIxMTk2MTQwNw==MTIxMTk2MTQwNw==&session=MTIxMTk2MTQwNw==MTIxMTk2MTQwNw==,54.148.226.50,212,11,0.0518867924528301,1.0,0.0
96,625,2023-02-08 23:11:37,5.4,https://brushycreekeaster.org/Citrix/index.php,162.241.70.188,46,0,0.0,3.0,0.0
97,627,2023-02-08 23:11:34,3.2,https://blgstoragenew.blob.core.windows.net/ase/rog.htm,20.150.90.68,55,0,0.0,0.0,0.0
98,628,2023-02-08 23:11:33,5.1,https://blackrockkiteboarding.com/om/perfect/,162.241.70.188,45,0,0.0,2.0,0.0
99,629,2023-02-08 23:11:31,3.5,https://bizerba-dot-azure-projectfiles.uk.r.appspot.com/,142.250.80.116,56,0,0.0,0.0,0.0
100,654,2023-02-08 23:10:46,4.9,https://architecturehealth.co.uk/Cold/3/index.php,162.241.70.188,49,1,0.0204081632653061,3.0,0.0
101,655,2023-02-08 23:10:44,4.9,https://architecturehealth.co.uk/Cold/2/index.php,162.241.70.188,49,1,0.0204081632653061,3.0,0.0
102,663,2023-02-08 23:10:26,5.0,https://647cyu.z8.web.core.windows.net/?toWww=1&redig=12C74037FF2B4EFABEE76D93715202F6,20.60.72.33,86,25,0.2906976744186046,0.0,1.0
103,668,2023-02-08 23:10:13,1.8,https://22788-5071.s2.webspace.re/registratie-2023/,91.218.65.223,51,14,0.2745098039215686,6.0,0.0
104,669,2023-02-08 23:10:07,5.4,https://100053543143678.my.id/,34.151.221.205,30,15,0.5,1.0,0.0
105,672,2023-02-08 23:09:59,4.9,http://relem.io/,198.154.99.18,16,0,0.0,9.0,12.0
107,682,2023-02-08 23:09:36,4.9,http://mybtmailx.blogspot.bg/,2607:f8b0:4006:80c::2001,29,0,0.0,25.0,0.0
108,683,2023-02-08 23:09:33,2.0,http://mitid-approve.20-203-169-150.cprapid.com/nords/,20.203.169.150,54,11,0.2037037037037037,0.0,0.0
109,684,2023-02-08 23:09:31,5.4,http://metamask.io.merge.pjbtecnologias.co.mz/secure.html,51.38.118.179,57,0,0.0,0.0,0.0
110,687,2023-02-08 23:09:25,5.4,http://mail.captiv8axosinfluencer.com/,208.109.66.54,38,1,0.0263157894736842,8.0,0.0
111,688,2023-02-08 23:09:24,1.4,http://mabe.hr-staff-net.com/,63.32.161.232,29,0,0.0,2.0,0.0
112,689,2023-02-08 23:09:22,2.9,http://luonsoieroeri01.click/?lang=he,103.18.7.151,37,2,0.054054054054054,0.0,0.0
113,690,2023-02-08 23:09:15,3.9,http://lintasanberita.com/,111.221.46.29,26,0,0.0,1.0,0.0
114,691,2023-02-08 23:09:12,3.4,http://letter-scg.firebaseapp.com/,199.36.158.100,34,0,0.0,2.0,0.0
115,692,2023-02-08 23:09:11,2.4,http://letter-scge.web.app/,2620:0:890::100,27,0,0.0,2.0,0.0
116,693,2023-02-08 23:09:10,3.4,http://letter-scge.firebaseapp.com/,199.36.158.100,35,0,0.0,2.0,0.0
117,703,2023-02-08 23:08:47,5.4,http://grobiz.app/ali.php,148.66.132.125,25,0,0.0,0.0,0.0
118,704,2023-02-08 23:08:44,3.4,http://green-hall-8829.on.fleek.co/,104.18.7.145,35,4,0.1142857142857142,2.0,0.0
119,709,2023-02-08 23:08:34,5.4,http://fenix70.atsnx.com/,185.27.134.33,25,2,0.08,0.0,0.0
120,716,2023-02-08 23:08:23,3.0,http://dripflytees.com/,69.49.247.125,23,0,0.0,0.0,0.0
121,717,2023-02-08 23:08:21,1.8,http://crusalstecks.ml/win/shared-corporate-files/,172.93.120.139,50,0,0.0,0.0,0.0
122,718,2023-02-08 23:08:20,1.4,http://configaddemanage.online/,103.18.6.61,31,0,0.0,0.0,0.0
123,721,2023-02-08 23:08:13,3.0,http://cfxd.co.uk/,217.199.161.213,18,0,0.0,0.0,0.0
124,723,2023-02-08 23:08:08,5.4,http://c2421280.ferozo.com/,200.58.112.166,27,7,0.2592592592592592,4.0,0.0
125,728,2023-02-08 23:07:55,3.9,http://aupotspos.com/,34.105.41.220,21,0,0.0,2.0,0.0
126,736,2023-02-08 23:07:39,2.4,http://asyuids.vip/,216.83.44.232,19,0,0.0,0.0,0.0
127,740,2023-02-08 23:07:31,1.8,http://accts-rcvry325.rf.gd/,185.27.134.131,28,3,0.1071428571428571,0.0,0.0
128,747,2023-02-08 23:07:09,5.4,http://2026bet365o.com/,103.188.120.97,23,7,0.3043478260869565,0.0,0.0
129,751,2023-02-08 23:06:58,4.9,http://100001764913539.my.id/,23.81.180.203,29,15,0.5172413793103449,0.0,0.0
130,768,2023-02-08 20:02:24,1.9,http://100056532638462.my.id/,207.244.70.217,29,15,0.5172413793103449,0.0,0.0
131,802,2023-02-08 18:34:29,4.4,http://metamask.io.merge.pjbtecnologias.co.mz/,51.38.118.179,46,0,0.0,0.0,0.0
132,808,2023-02-08 15:59:23,5.9,http://vb32k5fr.hyperphp.com/,185.27.134.33,29,3,0.1034482758620689,0.0,0.0
133,809,2023-02-08 15:59:22,4.1,http://vaiotomoakci.site.com.br/,45.35.114.198,32,0,0.0,25.0,0.0
134,810,2023-02-08 15:59:21,5.6,https://zonasegura.cajatrujillo.com.pe.murata.mx/ClienteHBPJ/wfLogin,162.241.109.67,68,0,0.0,0.0,0.0
135,812,2023-02-08 15:59:13,3.9,https://www.serviziofatturazione-it.com/,105.147.236.238,40,0,0.0,0.0,0.0
136,815,2023-02-08 15:59:07,3.6,https://www.atendimentobtgcorporate.com/btg/acesso/?hash=42237dc0d895b1023befa5d81dbad264,20.104.197.169,89,19,0.2134831460674157,1.0,0.0
137,816,2023-02-08 15:59:05,6.0,https://www.288wellbet.com/wp/privacy-policy/login.html,182.50.151.46,55,3,0.0545454545454545,25.0,0.0
138,817,2023-02-08 15:59:00,2.1,https://www.288wellbet.com/wp/privacy-policy/,182.50.151.46,45,3,0.0666666666666666,25.0,0.0
139,818,2023-02-08 15:58:55,1.8,https://wtwirh.webwave.dev/,185.73.228.142,27,0,0.0,4.0,0.0
140,821,2023-02-08 15:58:43,4.9,https://viacredi.ailos.hallo.app/,18.238.4.29,33,0,0.0,0.0,0.0
141,823,2023-02-08 15:58:34,1.3,https://tmp.vivocorp.datamobpro.com/system_users/sign_in,200.170.135.145,56,0,0.0,2.0,0.0
142,824,2023-02-08 15:58:33,4.7,https://tinyurl.com/fzt4rsh3,104.20.138.65,28,2,0.0714285714285714,1.0,1.0
143,825,2023-02-08 15:58:31,3.7,https://tinyurl.com/36ms4d24,104.20.139.65,28,5,0.1785714285714285,1.0,1.0
144,826,2023-02-08 15:58:26,3.7,https://tinyurl.com/2p82acan,172.67.1.225,28,3,0.1071428571428571,1.0,1.0
145,828,2023-02-08 15:58:21,5.1,https://sum.upper.place/,177.11.54.131,24,0,0.0,1.0,0.0
146,836,2023-02-08 15:57:33,3.9,https://myblog-5t3conp0di.live-website.com/dkb-de/dkb-yassire/,217.160.0.48,62,3,0.0483870967741935,25.0,0.0
147,840,2023-02-08 15:57:25,5.9,https://masksi.webcindario.com/home.php,5.57.226.202,39,0,0.0,1.0,0.0
148,852,2023-02-08 15:56:40,3.5,https://esim-demande.fr/verification/compte/login.php?&second_time=,185.254.37.110,67,0,0.0,0.0,0.0
149,856,2023-02-08 15:56:25,2.8,https://e5toez.webwave.dev/,185.73.228.142,27,1,0.037037037037037,0.0,0.0
150,865,2023-02-08 15:56:09,3.6,https://desenhefaturaonline3.blogspot.com/?gclid=EAIaIQobChMIobzA_6aG_QIVFszICh1jNwVgEAAYASAAEgIAzPD_BwE,142.250.80.65,104,3,0.0288461538461538,7.0,0.0
151,866,2023-02-08 15:55:58,5.3,https://cosmodapp.web.app/,199.36.158.100,26,0,0.0,0.0,0.0
152,867,2023-02-08 15:55:50,3.4,https://clienti-bper-supporto-sistema.cfolks.pl/application/mobile/public/webapp/digital-login/area-riservata.php,195.242.116.113,113,0,0.0,0.0,0.0
153,868,2023-02-08 15:55:47,6.0,https://clienti-bper-supporto-sistema.cfolks.pl/application/mobile/public/webapp/digital-login/,195.242.116.113,95,0,0.0,0.0,0.0
154,871,2023-02-08 15:55:25,5.4,https://bit.ly/interBper,67.199.248.10,24,0,0.0,2.0,0.0
155,873,2023-02-08 15:55:22,6.3,https://audiotekx.com/Cold/1/index.php,162.241.70.188,38,1,0.0263157894736842,3.0,0.0
156,881,2023-02-08 15:54:58,6.1,https://accedi-ora-id.66-29-139-17.cprapid.com/home/otp.php,66.29.139.17,59,9,0.1525423728813559,19.0,0.0
157,882,2023-02-08 15:54:56,1.9,https://accedi-ora-id.66-29-139-17.cprapid.com/home/index.php?sessione=afc3f6058e8046d9154493f09700d71c9d15221ef848861f81e43764f97bddb1bfb7f10c,66.29.139.17,143,57,0.3986013986013986,19.0,0.0
158,883,2023-02-08 15:54:54,4.6,https://accedi-ora-id.66-29-139-17.cprapid.com/home/errore.php,66.29.139.17,62,9,0.1451612903225806,19.0,0.0
159,884,2023-02-08 15:54:51,3.3,https://accedi-ora-id.66-29-139-17.cprapid.com/home/carta.php,66.29.139.17,61,9,0.1475409836065573,19.0,0.0
160,894,2023-02-08 15:54:15,5.0,http://fenix70.atsnx.com,185.27.134.33,24,2,0.0833333333333333,0.0,0.0
161,901,2023-02-08 15:53:51,5.2,http://beedigital.ca/wp-content/Popularenlinea/Home.html,72.167.69.26,56,0,0.0,1.0,0.0
162,903,2023-02-08 15:53:42,2.8,http://accessocredem.alfalahhandloom.com/,103.83.192.66,41,0,0.0,0.0,0.0
163,910,2023-02-08 12:41:47,4.0,http://www.polkaqstarter.com,185.224.139.97,28,0,0.0,24.0,0.0
164,915,2023-02-08 12:41:35,3.2,http://tinyurl.com/bperseucrlog,2606:4700:10::6814:8a41,31,0,0.0,1.0,1.0
165,916,2023-02-08 12:41:34,3.7,https://zonasegura.cajatrujillo.com.pe.murata.mx/portalnew,162.241.109.67,58,0,0.0,0.0,0.0
166,917,2023-02-08 12:41:32,5.4,https://zonasegura.cajatrujillo.com.pe.murata.mx/ClienteHBPN/wfLogin,162.241.109.67,68,0,0.0,0.0,0.0
167,937,2023-02-08 12:40:02,3.3,https://myceskaposta.web.app,2620:0:890::100,28,0,0.0,0.0,0.0
168,940,2023-02-08 12:39:55,6.0,https://littlepumpkins.co.nz/wp-admin/css/css/css/css/dkb/index.php,34.80.229.13,67,0,0.0,25.0,0.0
169,954,2023-02-08 12:38:46,5.4,https://bit.ly/3YrQzec,67.199.248.11,22,1,0.0454545454545454,2.0,0.0
170,955,2023-02-08 12:38:43,5.6,https://bestchange.obmenx.com/,190.115.21.118,30,0,0.0,25.0,0.0
171,960,2023-02-08 12:38:35,1.7,https://antai-gouv.net/,2.56.247.68,23,0,0.0,21.0,0.0
172,970,2023-02-08 12:38:08,1.8,http://debts-collections.com,162.255.119.223,28,0,0.0,3.0,0.0
173,974,2023-02-08 12:37:58,1.7,http://aptos-pancakeswap.com,2a06:6440:0:2d84::1,28,0,0.0,25.0,0.0
174,977,2023-02-08 11:02:12,4.9,http://yhvjhyh.cn/,155.94.151.164,18,0,0.0,0.0,0.0
175,984,2023-02-08 11:01:40,3.5,http://www.tsatcr.com/Eng/ref/po/deactivation/source/,202.129.16.76,53,0,0.0,0.0,0.0
176,1016,2023-02-08 11:00:07,2.9,http://www.mettasmasks.com/,154.82.100.243,27,0,0.0,24.0,1.0
177,1018,2023-02-08 10:59:57,6.8,http://www.maintia.com/post/BIbAZTGkMv4356/,102.219.176.81,43,4,0.0930232558139534,25.0,0.0
